"Cipher Info","","","","Implementation Info","","","Code Size","","","","","RAM","","","","","","","","","","Execution Time","","",""
"","","","","","","","","","","","Stack","","","","Data","","","",""
"Cipher","Block Size (bits)","Key Size (bits)","Version","Language","Options","EKS (bytes)","E (bytes)","DKS (bytes)","D(bytes)","EKS + E + DKS + D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","Common (bytes)","Total (bytes)","EKS (cycles)","E (cycles)","DKS (cycles)","D (cycles)"
"SPARX","64","128","40","C",="-O2","148","2052","0","1912","4112","-","-","-","-","-","-","-","-","-","-","805","17621","0","17319"
"SPARX","64","128","40","C",="-O1","144","1772","0","1920","3836","-","-","-","-","-","-","-","-","-","-","697","17764","0","18819"
"SPARX","64","128","40","C",="-Os","144","1752","0","1896","3792","-","-","-","-","-","-","-","-","-","-","771","17482","0","18621"
"SPARX","64","128","41","C",="-O3","356","564","0","660","1580","-","-","-","-","-","-","-","-","-","-","617","16938","0","17506"
"SPARX","64","128","41","C",="-O2","148","264","0","292","704","-","-","-","-","-","-","-","-","-","-","805","26597","0","26310"
"SPARX","64","128","41","C",="-O1","144","260","0","304","708","-","-","-","-","-","-","-","-","-","-","774","28395","0","25740"
"SPARX","64","128","41","C",="-Os","144","234","0","280","658","-","-","-","-","-","-","-","-","-","-","756","26922","0","28445"
"SPARX","64","128","42","C",="-O3","356","564","0","660","1580","-","-","-","-","-","-","-","-","-","-","617","15690","0","18129"
"SPARX","64","128","42","C",="-O2","148","400","0","412","960","-","-","-","-","-","-","-","-","-","-","805","17589","0","19030"
"SPARX","64","128","42","C",="-O1","144","340","0","404","888","-","-","-","-","-","-","-","-","-","-","869","18373","0","20109"
"SPARX","64","128","42","C",="-Os","144","374","0","384","902","-","-","-","-","-","-","-","-","-","-","775","18302","0","19110"
"SPARX","64","128","43","C",="-O3","356","2216","0","2160","4732","-","-","-","-","-","-","-","-","-","-","617","15722","0","16387"
"SPARX","64","128","43","C",="-O2","148","2052","0","1912","4112","-","-","-","-","-","-","-","-","-","-","805","17621","0","17319"
"SPARX","64","128","43","C",="-O1","144","1772","0","1920","3836","-","-","-","-","-","-","-","-","-","-","697","17764","0","18819"
"SPARX","64","128","43","C",="-Os","144","1752","0","1896","3792","-","-","-","-","-","-","-","-","-","-","771","17482","0","18621"
